"jd","magnitude","uncertainty","h_quncertainty","band","observer_code","comment_code_s","comp_star_1","comp_star_2","charts","comments","transfomed","airmass","validation_flag","cmag","kmag","hjd","star_name","observer_affiliation","measurement_method","grouping_method","ads_reference","digitizer","credit"
2419789.5,"1.1",NA,NA,"Vis.","SFE","C","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421597.3,"1.0",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421602.4,"0.8",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421607.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421612.3,"0.8",NA,NA,"Vis.","HDD","M","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421622.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421623.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421624.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421626.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421627.3,"0.8",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421627.3,"0.1",NA,NA,"Vis.","LY","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421629.3,"0.8",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421631.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421634.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421635.3,"1.0",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421636.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421637.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421640.3,"0.9",NA,NA,"Vis.","HDD","M","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421641.3,"0.2",NA,NA,"Vis.","LY","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421650.3,"0.9",NA,NA,"Vis.","HDD","M","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421654.4,"0.2",NA,NA,"Vis.","LY","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421659.3,"1.0",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421661.4,"1.0",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421662.3,"1.0",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421663.3,"1.0",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421664.3,"1.0",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421665.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421666.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421667.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421668.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421676.3,"0.9",NA,NA,"Vis.","HDD","M","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421679.4,"0.9",NA,NA,"Vis.","HDD","M","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2421684.3,"0.9",NA,NA,"Vis.","HDD","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422912.6,"1.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422933.6,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422958.68,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422964.663,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422968.679,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422970.683,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422971.676,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422972.663,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422972.679,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422974.682,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422975.678,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422984.688,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2422994.686,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423018.71,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423022.69,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423024.68,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423030.67,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423031.68,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423033.66,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423060.4,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423090.3,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423090.36,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423109.3,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423109.35,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423111.34,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423112.32,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423117.4,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423118.37,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423120.3,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423127.3,"0.9",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423130.3,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423130.33,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423315.6,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423329.65,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423330.6,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423369.6,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423381.7,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423438.3,"0.9",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423438.4,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423439.3,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423446.3,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423457.3,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423464.3,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423465.3,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423466.3,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423472.3,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423473.3,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423479.315,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423484.302,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423485.3,"0.9",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423489.266,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423490.3,"0.9",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423492.271,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423496.294,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423497.317,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423498.288,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423498.3,"0.9",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423500.331,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423503.29,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423504.306,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423512.304,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423513.304,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423514.317,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423515.306,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423521.342,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423682.4,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423702.665,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423703.679,"0.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423712.659,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423725.639,"0.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423729.665,"0.2",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423758.4,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423785.4,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423814.4,"0.6",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423818.3,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423824.3,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2423861.292,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2424087.7,"0.7",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2424957.31,"1.2",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2424959.31,"1.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2424962.29,"1.2",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425239.92,"1.2",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425256.89,"1.2",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425259.37,"0.8",NA,NA,"Vis.","GLT","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425259.4,"0.9",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425260.93,"1.1",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425266.01,"1.1",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425267.39,"0.9",NA,NA,"Vis.","GLT","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425267.99,"1.1",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425270.26,"0.9",NA,NA,"Vis.","GLT","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425270.93,"0.9",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425276,"1.0",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425278.4,"0.8",NA,NA,"Vis.","GLT","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425283.89,"0.9",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425293.2,"0.8",NA,NA,"Vis.","GLT","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425299.29,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425301.3,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425302.38,"1.1",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425303.35,"1.0",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425304.35,"1.1",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425323.97,"0.8",NA,NA,"Vis.","FUR","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425515.61,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425517.61,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425519.63,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425520.61,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425521.63,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425522.63,"0.9",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425527.63,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425529.63,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425534.58,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425538.66,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425539.65,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425545.64,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425553.61,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425555.61,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425557.63,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425562.6,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425565.66,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425568.65,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
